understat_id,player_name,team_title,first_name,second_name,fpl_id,team,web_name
847,Cédric Soares,Arsenal,Cédric,Alves Soares,1,1,Cédric
181,Bernd Leno,Arsenal,Bernd,Leno,2,1,Leno
204,Granit Xhaka,Arsenal,Granit,Xhaka,3,1,Xhaka
496,Mohamed Elneny,Arsenal,Mohamed,Elneny,4,1,Elneny
1749,Rob Holding,Arsenal,Rob,Holding,5,1,Holding
2328,Thomas Partey,Arsenal,Thomas,Partey,6,1,Partey
2517,Martin Odegaard,Arsenal,Martin,Ødegaard,7,1,Ødegaard
8089,Kieran Tierney,Arsenal,Kieran,Tierney,8,1,Tierney
5656,Nicolas Pepe,Arsenal,Nicolas,Pépé,9,1,Pépé
7298,Ben White,Arsenal,Benjamin,White,10,1,White
6482,Eddie Nketiah,Arsenal,Eddie,Nketiah,11,1,Nketiah
7230,Emile Smith-Rowe,Arsenal,Emile,Smith Rowe,12,1,Smith Rowe
7322,Bukayo Saka,Arsenal,Bukayo,Saka,13,1,Saka
7931,Takehiro Tomiyasu,Arsenal,Takehiro,Tomiyasu,14,1,Tomiyasu
5603,Aaron Ramsdale,Arsenal,Aaron,Ramsdale,15,1,Ramsdale
5613,Gabriel,Arsenal,Gabriel,dos Santos Magalhães,16,1,Gabriel
9691,Nuno Tavares,Arsenal,Nuno,Varela Tavares,17,1,Tavares
9689,Albert Sambi Lokonga,Arsenal,Albert,Sambi Lokonga,18,1,Sambi
7752,Gabriel Martinelli,Arsenal,Gabriel,Martinelli Silva,19,1,Martinelli
8380,Pablo Marí,Arsenal,Pablo,Marí Villar,20,1,Pablo Marí
1750,Ainsley Maitland-Niles,Arsenal,Ainsley,Maitland-Niles,21,1,Maitland-Niles
6492,Reiss Nelson,Arsenal,Reiss,Nelson,23,1,Nelson
5543,Gabriel Jesus,Manchester City,Gabriel,Fernando de Jesus,28,1,Jesus
488,Philippe Coutinho,Aston Villa,Philippe,Coutinho Correia,29,2,Coutinho
986,Danny Ings,Aston Villa,Danny,Ings,30,2,Ings
4401,Emiliano Martinez,Aston Villa,Emiliano,Martínez Romero,31,2,Martínez
508,Calum Chambers,"Arsenal,Aston Villa",Calum,Chambers,32,2,Chambers
1823,Lucas Digne,"Aston Villa,Everton",Lucas,Digne,33,2,Digne
695,Bertrand Traoré,Aston Villa,Bertrand,Traoré,34,2,Traoré
6962,Robin Olsen,Aston Villa,Robin,Olsen,35,2,Olsen
3696,Morgan Sanson,Aston Villa,Morgan,Sanson,36,2,Sanson
7723,John McGinn,Aston Villa,John,McGinn,37,2,McGinn
6859,Kortney Hause,Aston Villa,Kortney,Hause,38,2,Hause
1024,Tyrone Mings,Aston Villa,Tyrone,Mings,39,2,Mings
8865,Ollie Watkins,Aston Villa,Ollie,Watkins,40,2,Watkins
8040,Marvelous Nakamba,Aston Villa,Marvelous,Nakamba,41,2,Nakamba
2203,Emiliano Buendía,Aston Villa,Emiliano,Buendía Stati,42,2,Buendía
8864,Matthew Cash,Aston Villa,Matty,Cash,43,2,Cash
7726,Ezri Konsa Ngoyo,Aston Villa,Ezri,Konsa Ngoyo,44,2,Konsa
5221,Leon Bailey,Aston Villa,Leon,Bailey,45,2,Bailey
6122,Douglas Luiz,Aston Villa,Douglas Luiz,Soares de Paulo,46,2,Douglas Luiz
8941,Jacob Ramsey,Aston Villa,Jacob,Ramsey,47,2,Ramsey
9356,Carney Chukwuemeka,Aston Villa,Carney,Chukwuemeka,48,2,Chukwuemeka
9554,Tim Iroegbunam,Aston Villa,Tim,Iroegbunam,49,2,Iroegbunam
5612,Anwar El Ghazi,"Aston Villa,Everton",Anwar,El Ghazi,51,2,El Ghazi
1053,Keinan Davis,Aston Villa,Keinan,Davis,52,2,Davis
9912,Cameron Archer,Aston Villa,Cameron,Archer,54,2,Archer
9415,Jaden Philogene-Bidace,Aston Villa,Jaden,Philogene-Bidace,55,2,Philogene-Bidace
1801,Pontus Jansson,Brentford,Pontus,Jansson,78,4,Jansson
7083,Christian Nørgaard,Brentford,Christian,Nørgaard,79,4,Nørgaard
998,Ivan Toney,Brentford,Ivan,Toney,80,4,Toney
9676,David Raya,Brentford,David,Raya Martin,81,4,Raya
1078,Sergi Canos,Brentford,Sergi,Canós Tenés,82,4,Canós
10405,Josh Dasilva,Brentford,Josh,Dasilva,83,4,Dasilva
9677,Kristoffer Ajer,Brentford,Kristoffer,Ajer,84,4,Ajer
9679,Rico Henry,Brentford,Rico,Henry,85,4,Henry
9680,Vitaly Janelt,Brentford,Vitaly,Janelt,86,4,Janelt
7069,Saman Ghoddos,Brentford,Saman,Ghoddos,87,4,Ghoddos
7166,Mathias Jensen,Brentford,Mathias,Jensen,88,4,Jensen
5786,Yoane Wissa,Brentford,Yoane,Wissa,89,4,Wissa
9685,Mads Roerslev,Brentford,Mads,Roerslev Rasmussen,90,4,Roerslev
9683,Mads Bech Sørensen,Brentford,Mads,Bech Sørensen,91,4,Bech
9678,Ethan Pinnock,Brentford,Ethan,Pinnock,92,4,Pinnock
9681,Frank Onyeka,Brentford,Frank,Onyeka,93,4,Onyeka
9914,Shandon Baptiste,Brentford,Shandon,Baptiste,94,4,Baptiste
6552,Bryan Mbeumo,Brentford,Bryan,Mbeumo,95,4,Mbeumo
9687,Charlie Goode,Brentford,Charlie,Goode,96,4,Goode
9684,Marcus Forss,Brentford,Marcus,Forss,97,4,Forss
9915,Dominic Thompson,Brentford,Dominic,Thompson,98,4,Thompson
9682,Mads Bidstrup,Brentford,Mads,Bidstrup,99,4,Bidstrup
486,Adam Lallana,Brighton,Adam,Lallana,101,5,Lallana
7235,Jason Steele,Brighton,Jason,Steele,102,5,Steele
501,Danny Welbeck,Brighton,Danny,Welbeck,103,5,Welbeck
239,Pascal Groß,Brighton,Pascal,Groß,104,5,Gross
6047,Shane Duffy,Brighton,Shane,Duffy,105,5,Duffy
6048,Lewis Dunk,Brighton,Lewis,Dunk,106,5,Dunk
6049,Solly March,Brighton,Solly,March,107,5,March
7699,Adam Webster,Brighton,Adam,Webster,108,5,Webster
8780,Joël Veltman,Brighton,Joël,Veltman,109,5,Veltman
3621,Neal Maupay,Brighton,Neal,Maupay,110,5,Maupay
7698,Leandro Trossard,Brighton,Leandro,Trossard,111,5,Trossard
