understat_id,player_name,fpl_id,web_name,fpl_code
65,Timo Werner,776,Werner,165153
76,Fabian Schär,415,Schär,119471
87,Joelinton,403,Joelinton,180974
205,Mahmoud Dahoud,119,Dahoud,168090
239,Pascal Groß,125,Gross,60307
343,Pierre-Emile Højbjerg,490,Højbjerg,132015
447,Kevin De Bruyne,345,De Bruyne,61366
453,Son Heung-Min,503,Son,85971
468,Callum Wilson,421,Wilson,75115
486,Adam Lallana,463,Lallana,39155
489,James Milner,142,Milner,15157
500,Alex Iwobi,247,Iwobi,153133
501,Danny Welbeck,148,Welbeck,50175
528,Angelo Ogbonna,577,Ogbonna,40669
531,Michail Antonio,512,Antonio,57531
534,Aaron Cresswell,517,Cresswell,55459
556,Marcus Rashford,385,Rashford,176297
579,Nathan Aké,341,Aké,126184
585,Seamus Coleman,221,Coleman,59949
586,John Stones,362,Stones,97299
592,Ross Barkley,630,Barkley,88894
603,Nathaniel Clyne,196,Clyne,57328
618,Raheem Sterling,186,Sterling,103955
631,Ashley Young,588,Young,18892
638,Kyle Walker,363,Walker,58621
646,Christian Eriksen,370,Eriksen,80607
652,Kieran Trippier,418,Trippier,77794
660,Ben Davies,484,Davies,115556
675,Jack Grealish,349,Grealish,114283
700,Willian,591,Willian,47431
706,Lukasz Fabianski,521,Fabianski,37096
712,Jack Cork,163,Cork,40145
725,Ola Aina,604,Aina,159506
741,Jordan Pickford,235,Pickford,111234
757,Jeffrey Schlupp,214,Schlupp,86417
766,Jamaal Lascelles,407,Lascelles,101148
775,Andros Townsend,727,Townsend,60252
782,Ben Chilwell,160,Chilwell,172850
804,Craig Dawson,551,Dawson,60232
807,Jonny Evans,703,Evans,37642
825,Adam Smith,81,Smith,54469
833,Virgil van Dijk,339,Virgil,97032
843,James Ward-Prowse,664,Ward-Prowse,101178
884,Matt Targett,416,Targett,169359
900,Adama Traoré,239,Adama,159533
910,Harrison Reed,254,Reed,153366
922,Andreas Pereira,240,Andreas,156689
935,Kurt Zouma,532,Zouma,103192
985,Mason Holgate,225,Holgate,194164
986,Danny Ings,535,Ings,84939
998,Ivan Toney,108,Toney,144485
1006,Luke Shaw,387,Shaw,106760
1018,Josh Cullen,165,Cullen,172567
1024,Tyrone Mings,49,Mings,149484
1228,Bruno Fernandes,366,B.Fernandes,141746
1250,Mohamed Salah,328,M.Salah,118748
1257,Alisson,310,A.Becker,116535
1653,Michael Keane,228,Keane,106611
1654,Ben Mee,100,Mee,51927
1663,Johann Berg Gudmundsson,170,Gudmundsson,60586
1665,James Tarkowski,236,Tarkowski,17761
1679,Dominic Solanke,82,Solanke,154566
1687,Harry Maguire,387,Maguire,95658
1688,Andrew Robertson,335,Robertson,122798
1726,Abdoulaye Doucouré,217,A.Doucoure,121599
1736,Oliver McBurnie,485,McBurnie,169432
1771,Reece Burke,318,Burke,156658
1776,Jarrod Bowen,514,Bowen,178186
1789,Lewis Cook,64,Cook,155408
1791,Trent Alexander-Arnold,311,Alexander-Arnold,169187
1823,Lucas Digne,36,Digne,101188
2182,Jefferson Lerma,231,Lerma,152551
2199,Pablo Sarabia,565,Sarabia,88484
2248,Casemiro,368,Casemiro,61256
2254,Mateo Kovacic,354,Kovačić,91651
2310,Alphonse Areola,513,Areola,84182
2383,André Gomes,244,André Gomes,120250
2496,Rodri,360,Rodrigo,220566
2517,Martin Odegaard,13,Ødegaard,184029
2958,Oleksandr Zinchenko,25,Zinchenko,206325
3203,Issa Diop,245,Diop,219924
3278,Maxwel Cornet,515,Cornet,149519
3300,Christopher Nkunku,212,Nkunku,213198
3621,Neal Maupay,229,Maupay,115382
3635,Bernardo Silva,342,Bernardo,165809
3697,Odsonne Edouard,198,Edouard,199670
4105,Raúl Jiménez,252,Raúl,102057
4120,Álex Moreno,26,Alex Moreno,106468
4401,Emiliano Martinez,47,Martinez,98980
5050,Clement Lenglet,699,Lenglet,171101
5136,Estupiñán,122,Estupiñan,204214
5220,Kai Havertz,4,Havertz,219847
5221,Leon Bailey,28,Bailey,215711
5232,Alexander Isak,401,Isak,219168
5355,Jacob Bruun Larsen,608,Bruun Larsen,179458
5543,Gabriel Jesus,2,G.Jesus,205651
5552,Nick Pope,413,Pope,98747
5553,Declan Rice,16,Rice,204480
5555,Dominic Calvert-Lewin,220,Calvert-Lewin,177815
5560,Scott McTominay,381,McTominay,195851
5568,Connor Roberts,176,Roberts,192290
5569,Rhian Brewster,477,Brewster,195473
5584,Aaron Wan-Bissaka,388,Wan-Bissaka,214590
5590,Tosin Adarabioyo,187,Tosin,109646
5596,Harry Wilson,259,Wilson,153682
5603,Aaron Ramsdale,14,Ramsdale,225321
5609,Yves Bissouma,482,Bissouma,227127
5681,Giovani Lo Celso,503,Lo Celso,200826
5712,Diego Carlos,35,Diego Carlos,165659
5722,Ibrahim Sangare,713,Sangaré,210462
5735,Jean-Philippe Mateta,207,Mateta,231747
5786,Yoane Wissa,110,Wissa,216646
5803,Fode Toure,707,Ballo-Touré,225897
5956,Youri Tielemans,58,Tielemans,166989
5973,Kenny Tete,257,Tete,167074
5989,Moussa Niakhate,457,Niakhaté,199170
6026,Richarlison,497,Richarlison,212319
6030,Zanka,112,Zanka,48760
6034,Philip Billing,76,Philip,168991
6044,Charlie Taylor,178,Taylor,103914
6048,Lewis Dunk,120,Dunk,83299
6049,Solly March,132,March,109345
6054,Ederson,347,Ederson M.,121160
6055,Phil Foden,348,Foden,209244
6108,Rodrigo Bentancur,480,Bentancur,202993
6157,Timothy Castagne,688,Castagne,166477
6163,Nélson Semedo,559,N.Semedo,200402
6221,Pau Torres,584,Pau,244954
6326,Ibrahima Konaté,326,Konaté,204716
6345,Jadon Sancho,386,Sancho,209243
6420,Romain Faivre,799,Faivre,441240
6456,Callum Hudson-Odoi,205,Hudson-Odoi,209046
6482,Eddie Nketiah,11,Nketiah,205533
6490,Manuel Akanji,340,Akanji,211975
6492,Reiss Nelson,578,Nelson,200641
6532,Martin Dubravka,396,Dúbravka,67089
6552,Bryan Mbeumo,99,Mbeumo,446008
6556,Moussa Diaby,599,Diaby,243557
