id_x,full_name,games,time,goals,xG,assists_x,xA,shots,key_passes,yellow_cards_x,red_cards_x,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short.1,pos_x,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id_y,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,web_name_2,Team,key,pos_y,minutes,goals_scored,assists_y,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards_y,red_cards_y,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
7991,Aaron Connolly,24,1279,3,4.553525606,1,0.5620171577,36,6,0,0,F S,Brighton,Brighton,3,4.553525606,4.356782122,0.3541994113,Brighton,,,,233425,0,0,0,0,0,4,0,,0,Aaron,0,78,FALSE,,,55,233425.jpg,0,Connolly,1,FALSE,,a,3,36,61,0,0,0,0,0,11.1,Connolly,Connolly,Brighton,Connolly Brighton,F,1250,3,3,5,22,0,0,0,0,0,0,5,146,150.6,91.4,530,76,286,35,232,36,59,27,179,29
534,Aaron Cresswell,31,2739,3,1.032538125,0,3.006656665,18,26,7,0,D,West Ham,West Ham,3,1.032538125,6.834942104,4.891463637,West Ham,,,,55459,0,0,0,0,0,2,0,,0,Aaron,0,435,FALSE,,,50,55459.jpg,0,Cresswell,0.6,FALSE,,a,19,21,79,0,0,0,0,0,15.8,Cresswell,Cresswell,West Ham,Cresswell West Ham,D,2727,3,0,5,51,0,0,0,7,0,0,5,444,535.4,441,180,115.9,100,40,70,13,182,41,101,22
6033,Aaron Mooy,31,2095,2,2.518191611,2,3.749102319,33,39,1,1,F M S,Brighton,Brighton,2,2.518191611,8.611672133,4.26419751,Brighton,,,,74471,0,0,0,0,0,3,0,,0,Aaron,0,60,FALSE,,,50,74471.jpg,0,Mooy,0.4,FALSE,,a,3,36,80,0,0,0,0,0,16,Mooy,Mooy,Brighton,Mooy Brighton,M,2079,2,2,6,33,0,0,0,1,1,0,9,337,436.6,614.9,291,134,141,54,27,21,119,66,75,43
5584,Aaron Wan-Bissaka,35,3075,0,0.8149191123,4,3.490916756,7,25,8,0,D M S,Manchester United,Man Utd,0,0.8149191123,14.16557976,11.52116862,Man Utd,,,,214590,0,0,0,0,0,2,0,,0,Aaron,0,313,FALSE,,,55,214590.jpg,0,Wan-Bissaka,13.1,FALSE,,a,13,1,127,0,0,0,0,0,23.1,Wan-Bissaka,Wan-Bissaka,Man Utd,Wan-Bissaka Man Utd,D,3070,0,4,12,33,0,0,0,8,0,0,16,659,749.2,443.3,133,132.8,36,12,69,12,206,55,79,14
486,Adam Lallana,15,362,1,0.8086850233,1,0.6536715552,5,4,1,0,M S,Liverpool,Liverpool,1,0.8086850233,3.720507052,2.313550264,Liverpool,,,,39155,0,0,0,0,0,3,0,,0,Adam,0,54,FALSE,,,65,39155.jpg,0,Lallana,2.1,FALSE,,a,3,36,27,0,0,0,0,0,4.2,Lallana,Lallana,Brighton,Lallana Brighton,M,371,1,1,1,5,0,0,0,1,0,0,1,97,107.2,68.8,74,25.1,306,130,256,132,260,127,302,132
7699,Adam Webster,31,2668,3,1.577792896,1,1.094376815,16,10,4,0,D,Brighton,Brighton,3,1.577792896,6.39076218,6.152603228,Brighton,,,,110735,0,0,0,0,0,2,0,,0,Adam,0,66,FALSE,,,45,110735.jpg,0,Webster,2.9,FALSE,,a,3,36,88,0,0,0,0,0,19.6,Webster,Webster,Brighton,Webster Brighton,D,2668,3,1,5,44,1,0,0,4,0,0,7,514,696.6,153.2,221,107.3,49,19,194,48,153,31,118,29
900,Adama Traoré,37,2596,4,3.707337396,9,7.551031334,43,49,1,0,F M S,Wolverhampton Wanderers,Wolves,4,3.707337396,15.27229515,5.655398901,Wolves,,,,159533,0,0,0,0,0,3,0,,0,Adama,0,465,FALSE,,,65,159533.jpg,0,Traoré,11.3,FALSE,,a,20,39,130,0,0,0,0,0,20,Traoré,Traoré,Wolves,Traoré Wolves,M,2599,4,9,7,33,0,0,0,1,0,0,14,522,727.2,786.4,583,209.7,43,11,18,15,54,27,28,15
527,Adrián,11,873,0,0,0,0,0,0,1,0,GK S,Liverpool,Liverpool,0,0,2.574331187,2.574331187,Liverpool,,,,60706,0,0,0,0,0,1,0,,0,Adrián,0,245,FALSE,,,45,60706.jpg,0,San Miguel del Castillo,0.3,FALSE,,a,11,14,27,0,0,0,0,0,6,Adrián,Adrián,Liverpool,San Miguel del Castillo Liverpool,GK,873,0,0,2,10,0,0,0,1,0,18,0,136,131.4,0,0,13.2,294,22,381,24,365,20,328,22
1685,Ahmed El Mohamady,18,1007,1,0.1957340268,1,2.220943574,5,22,1,0,D M S,Aston Villa,Aston Villa,1,0.1957340268,3.627542907,2.72565309,Aston Villa,,,,37339,0,0,0,0,0,2,0,,0,Ahmed,0,29,FALSE,,,45,37339.jpg,0,El Mohamady,0.5,FALSE,,a,2,7,39,0,0,0,0,0,8.7,El Mohamady,El Mohamady,Aston Villa,El Mohamady Aston Villa,D,1024,1,1,2,28,0,0,0,1,0,0,7,224,254.6,324.1,67,64.6,227,89,108,24,264,90,213,66
1750,Ainsley Maitland-Niles,20,1372,0,0.5084081329,2,1.646096371,4,11,4,1,D S,Arsenal,Arsenal,0,0.5084081329,5.15650332,3.567148937,Arsenal,,,,154043,0,0,0,0,0,2,0,,0,Ainsley,0,15,FALSE,,,50,154043.jpg,0,Maitland-Niles,0.4,FALSE,,a,1,3,41,0,0,0,0,0,8.2,Maitland-Niles,Maitland-Niles,Arsenal,Maitland-Niles Arsenal,D,1382,0,2,3,22,0,0,0,4,1,0,3,244,301.8,182,58,53.6,201,77,176,41,272,94,239,78
