chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,full_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,web_name_2,Team,key,pos,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,55459,0,0,0,0,0,2,0,,0,Aaron,Aaron Cresswell,0,435,FALSE,,,50,55459.jpg,0,Cresswell,0.6,FALSE,,a,19,21,79,0,0,0,0,0,15.8,Cresswell,Cresswell,West Ham,Cresswell West Ham,D,2727,3,0,5,51,0,0,0,7,0,0,5,444,535.4,441,180,115.9,100,40,70,13,182,41,101,22
,,214590,0,0,0,0,0,2,0,,0,Aaron,Aaron Wan-Bissaka,0,313,FALSE,,,55,214590.jpg,0,Wan-Bissaka,13.1,FALSE,,a,13,1,127,0,0,0,0,0,23.1,Wan-Bissaka,Wan-Bissaka,Man Utd,Wan-Bissaka Man Utd,D,3070,0,4,12,33,0,0,0,8,0,0,16,659,749.2,443.3,133,132.8,36,12,69,12,206,55,79,14
,,110735,0,0,0,0,0,2,0,,0,Adam,Adam Webster,0,66,FALSE,,,45,110735.jpg,0,Webster,2.9,FALSE,,a,3,36,88,0,0,0,0,0,19.6,Webster,Webster,Brighton,Webster Brighton,D,2668,3,1,5,44,1,0,0,4,0,0,7,514,696.6,153.2,221,107.3,49,19,194,48,153,31,118,29
,,37339,0,0,0,0,0,2,0,,0,Ahmed,Ahmed El Mohamady,0,29,FALSE,,,45,37339.jpg,0,El Mohamady,0.5,FALSE,,a,2,7,39,0,0,0,0,0,8.7,El Mohamady,El Mohamady,Aston Villa,El Mohamady Aston Villa,D,1024,1,1,2,28,0,0,0,1,0,0,7,224,254.6,324.1,67,64.6,227,89,108,24,264,90,213,66
,,77777,0,0,0,0,0,2,0,,0,Ahmed El-Sayed,Ahmed El-Sayed Hegazy,0,414,FALSE,,,45,77777.jpg,0,Hegazy,3.5,FALSE,,a,18,35,0,0,0,0,0,0,0,Hegazi,Hegazi,West Brom,Hegazy West Brom,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,151,385,151,370,146,397,151
,,154043,0,0,0,0,0,2,0,,0,Ainsley,Ainsley Maitland-Niles,0,15,FALSE,,,50,154043.jpg,0,Maitland-Niles,0.4,FALSE,,a,1,3,41,0,0,0,0,0,8.2,Maitland-Niles,Maitland-Niles,Arsenal,Maitland-Niles Arsenal,D,1382,0,2,3,22,0,0,0,4,1,0,3,244,301.8,182,58,53.6,201,77,176,41,272,94,239,78
,,149266,0,0,0,0,0,2,0,,0,Alfie,Alfie Mawson,0,185,FALSE,,,45,149266.jpg,0,Mawson,0.3,FALSE,,a,8,54,0,0,0,0,0,0,0,Mawson,Mawson,Fulham,Mawson Fulham,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,159,400,159,387,155,409,159
,,135363,0,0,0,0,0,2,0,,0,Andreas,Andreas Christensen,0,116,FALSE,,,50,135363.jpg,0,Christensen,0.4,FALSE,,a,5,8,34,0,0,0,0,0,6.8,Christensen,Christensen,Chelsea,Christensen Chelsea,D,1751,0,0,3,33,0,0,0,5,0,0,0,325,353.6,70.9,96,52.1,176,65,252,83,238,74,246,81
,,122798,0,0,0,0,0,2,0,,0,Andrew,Andrew Robertson,0,255,FALSE,,,70,122798.jpg,0,Robertson,7.9,FALSE,,a,11,14,181,0,0,0,0,0,25.9,Robertson,Robertson,Liverpool,Robertson Liverpool,D,3111,2,12,13,31,0,0,0,2,0,0,20,847,845.8,980.2,389,221.7,20,5,8,3,84,10,26,2
,,60252,0,0,0,0,0,3,0,,0,Andros,Andros Townsend,0,137,FALSE,,,60,60252.jpg,0,Townsend,0.3,FALSE,,a,6,31,48,0,0,0,0,0,8,Townsend,Townsend,West Brom,Townsend West Brom,D,1284,1,1,3,23,0,0,0,0,0,0,0,221,246.4,247.1,122,61.6,230,96,142,92,214,110,225,109
,,40669,0,0,0,0,0,2,0,,0,Angelo,Angelo Ogbonna,0,432,FALSE,,,50,40669.jpg,0,Ogbonna,0.3,FALSE,,a,19,21,81,0,0,0,0,0,16.2,Ogbonna,Ogbonna,West Ham,Ogbonna West Ham,D,2786,2,0,7,44,1,0,0,4,0,0,0,453,579,37.8,168,78.4,76,29,289,104,191,48,174,48
,,102380,0,0,0,0,0,2,0,,0,Antonio,Antonio Rüdiger,0,109,FALSE,,,50,102380.jpg,0,Rüdiger,0.9,FALSE,,a,5,8,63,0,0,0,0,0,12.6,Rüdiger,Rüdiger,Chelsea,Rüdiger Chelsea,D,1710,2,0,5,24,1,0,0,3,0,0,5,351,389.4,93.3,194,67.7,163,60,230,69,169,37,205,63
,,105717,0,0,0,0,0,2,0,,0,Arthur,Arthur Masuaku,0,442,FALSE,,,45,105717.jpg,0,Masuaku,0.4,FALSE,,a,19,21,26,0,0,0,0,0,5.8,Masuaku,Masuaku,West Ham,Masuaku West Ham,D,930,0,1,2,18,0,0,0,4,1,0,3,166,240.8,128.6,53,42.4,234,92,209,55,276,97,270,92
,,180804,0,0,0,0,0,2,0,,0,Axel,Axel Tuanzebe,0,307,FALSE,,,45,180804.jpg,0,Tuanzebe,0.2,FALSE,,a,13,1,7,0,0,0,0,0,1.6,Tuanzebe,Tuanzebe,Man Utd,Tuanzebe Man Utd,D,187,0,0,0,3,0,0,0,0,0,0,0,30,17.6,6.2,0,2.4,352,132,334,125,395,159,361,134
,,146941,0,0,0,0,0,2,0,,0,Aymeric,Aymeric Laporte,0,280,FALSE,,,60,146941.jpg,0,Laporte,13.7,FALSE,,a,12,43,63,0,0,0,0,0,10.5,Laporte,Laporte,Man City,Laporte Man City,D,1096,1,0,8,5,0,0,0,1,0,0,0,298,246.8,62.2,79,38.7,229,90,266,90,255,85,274,96
,,57913,0,0,0,0,0,2,0,,0,Barry,Barry Douglas,0,196,FALSE,,,40,57913.jpg,0,Douglas,9.7,FALSE,,a,10,2,0,0,0,0,0,0,0,Douglas,Douglas,Leeds,Douglas Leeds,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,137,356,136,336,129,376,137
,,83312,0,0,0,0,0,2,0,,0,Ben,Ben Gibson,0,94,FALSE,,,40,83312.jpg,0,Gibson,1.7,FALSE,,a,4,90,0,0,0,0,0,0,0,Gibson,Gibson,Burnley,Gibson Burnley,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,138,358,137,338,130,378,138
,,222018,0,0,0,0,0,2,0,,0,Ben,Ben Johnson,0,452,FALSE,,,40,222018.jpg,0,Johnson,2.8,FALSE,,a,19,21,6,0,0,0,0,0,1.5,Johnson,Johnson,West Ham,Johnson West Ham,D,270,0,0,0,3,0,0,0,0,0,0,0,32,48,25.2,1,7.4,333,123,309,116,332,128,341,124
,,51927,0,0,0,0,0,2,0,,0,Ben,Ben Mee,0,88,FALSE,,,50,51927.jpg,0,Mee,2.6,FALSE,,a,4,90,110,0,0,0,0,0,22,Mee,Mee,Burnley,Mee Burnley,D,2880,1,2,13,45,0,0,0,7,0,0,6,549,658.8,105.8,362,112.9,54,22,220,62,91,12,107,24
,,198869,0,0,0,0,0,2,0,,0,Ben,Ben White,0,74,FALSE,,,45,198869.jpg,0,White,2.1,FALSE,,a,3,36,0,0,0,0,0,0,0,White,White,Brighton,White Brighton,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,164,411,164,399,161,420,164
0,,172850,0,0,0,0,0,2,0,,0,Benjamin,Benjamin Chilwell,0,232,FALSE,Foot injury - Unknown return date,2020-08-15T10:00:11.852853Z,55,172850.jpg,0,Chilwell,2.1,FALSE,,i,9,13,114,0,0,0,0,0,20.7,Chilwell,Chilwell,Leicester,Chilwell Leicester,D,2374,3,3,9,26,0,0,0,3,0,0,8,501,546,545.4,208,130,95,38,39,6,163,34,83,15
,,102826,0,0,0,0,0,2,0,,0,Benjamin,Benjamin Mendy,0,274,FALSE,,,60,102826.jpg,0,Mendy,9,FALSE,,a,12,43,74,0,0,0,0,0,12.3,Mendy,Mendy,Man City,Mendy Man City,D,1491,0,2,9,13,0,0,0,3,0,0,3,378,243,403.2,106,75.5,233,91,87,17,225,66,181,51
,,209362,0,0,0,0,0,2,0,,0,Bernardo,Bernardo Fernandes da Silva Junior,0,75,FALSE,,,40,209362.jpg,0,Fernandes da Silva Junior,9.5,FALSE,,a,3,36,21,0,0,0,0,0,5.2,Bernardo,Bernardo,Brighton,Fernandes da Silva Junior Brighton,D,675,0,0,1,17,0,0,0,1,0,0,3,121,154,72.6,92,31.9,282,108,250,82,241,77,289,103
,,108156,0,0,0,0,0,2,0,,0,Bjorn,Bjorn Engels,0,36,FALSE,,,45,108156.jpg,0,Engels,0.3,FALSE,,a,2,7,42,0,0,0,0,0,9.3,Engels,Engels,Aston Villa,Engels Aston Villa,D,1446,1,0,3,32,0,0,0,1,0,0,4,252,329.6,31.9,81,44.5,190,74,295,107,250,81,264,90
,,232937,0,0,0,0,0,2,0,,0,Brandon,Brandon Williams,0,318,FALSE,,,45,232937.jpg,0,Williams,2.7,FALSE,,a,13,1,51,0,0,0,0,0,11.3,Williams,Williams,Man Utd,Williams Man Utd,D,1003,1,1,5,11,0,0,0,6,0,0,3,228,200,191.2,100,49.2,261,99,169,39,233,71,256,85
,,218031,0,0,0,0,0,2,0,,0,Çaglar,Çaglar Söyüncü,0,238,FALSE,,,55,218031.jpg,0,Söyüncü,5.1,FALSE,,a,9,13,120,0,0,0,0,0,21.8,Söyüncü,Söyüncü,Leicester,Söyüncü Leicester,D,3036,1,1,12,35,0,0,0,4,1,0,12,681,755.6,79,238,107.5,34,10,242,78,143,26,117,28
0,,101184,0,0,0,0,0,2,0,,0,Calum,Calum Chambers,0,13,FALSE,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,101184.jpg,0,Chambers,0.1,FALSE,,i,1,3,42,0,0,0,0,0,9.3,Chambers,Chambers,Arsenal,Chambers Arsenal,D,1102,1,1,3,15,0,0,0,5,0,0,5,197,272,113.5,203,58.7,218,84,214,59,168,36,229,73
,,58822,0,0,0,0,0,2,0,,0,Cédric,Cédric Soares,0,5,FALSE,,,50,58822.jpg,0,Soares,0.4,FALSE,,a,1,3,61,0,0,0,0,0,12.2,Cédric,Cédric,Arsenal,Soares Arsenal,D,1553,1,1,4,20,0,0,0,1,0,0,3,286,349,218.9,118,68.7,180,68,157,34,219,63,199,59
,,41328,0,0,0,0,0,2,0,,0,César,César Azpilicueta,0,102,FALSE,,,60,41328.jpg,0,Azpilicueta,10.8,FALSE,,a,5,8,130,0,0,0,0,0,21.7,Azpilicueta,Azpilicueta,Chelsea,Azpilicueta Chelsea,D,3229,2,6,8,53,0,0,0,1,0,0,16,700,905.2,708.7,438,205.4,14,4,22,4,72,5,31,4
,,103914,0,0,0,0,0,2,0,,0,Charlie,Charlie Taylor,0,97,FALSE,,,45,103914.jpg,0,Taylor,11.6,FALSE,,a,4,90,84,0,0,0,0,0,18.7,Taylor,Taylor,Aston Villa,Taylor Aston Villa,D,1944,0,1,10,18,0,0,0,3,0,0,5,375,382.6,243,19,64.7,168,62,143,31,306,114,211,65
,,40386,0,0,0,0,0,2,0,,0,Chris,Chris Basham,0,345,FALSE,,,50,40386.jpg,0,Basham,2.4,FALSE,,a,15,49,123,0,0,0,0,0,24.6,Basham,Basham,Sheffield Utd,Basham Sheffield Utd,D,3242,0,1,13,37,0,0,0,4,0,0,6,639,707.6,212.1,103,102.7,47,17,161,36,226,67,127,34
,,55909,0,0,0,0,0,2,0,,0,Chris,Chris Smalling,0,292,FALSE,,,50,55909.jpg,0,Smalling,0.3,FALSE,,a,13,1,0,0,0,0,0,0,0,Smalling,Smalling,Man Utd,Smalling Man Utd,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,169,429,169,423,167,435,169
0,,37402,0,0,0,0,0,2,0,,0,Christian,Christian Fuchs,0,218,FALSE,Groin Injury - Expected back 24 Oct,2020-08-15T10:00:11.758506Z,45,37402.jpg,0,Fuchs,0.1,FALSE,,i,9,13,26,0,0,0,0,0,5.8,Fuchs,Fuchs,Leicester,Fuchs Leicester,D,770,0,0,2,10,0,0,0,0,0,0,2,139,144.4,53.5,20,21.8,288,110,273,93,303,112,310,112
,,58845,0,0,0,0,0,2,0,,0,Ciaran,Ciaran Clark,0,324,FALSE,,,45,58845.jpg,0,Clark,0.4,FALSE,,a,14,4,49,0,0,0,0,0,10.9,Clark,Clark,Newcastle,Clark Newcastle,D,1186,2,0,4,14,0,0,0,3,0,0,2,216,331.4,14.9,128,47.6,188,73,321,122,209,57,260,88
,,94147,0,0,0,0,0,2,0,,0,Conor,Conor Coady,0,459,FALSE,,,50,94147.jpg,0,Coady,4.2,FALSE,,a,20,39,118,0,0,0,0,0,23.6,Coady,Coady,Wolves,Coady Wolves,D,3420,0,0,13,40,0,0,0,5,0,0,7,648,556.4,68.8,0,62.4,87,35,255,84,432,168,219,71
,,87107,0,0,0,0,0,2,0,,0,Cyrus,Cyrus Christie,0,179,FALSE,,,45,87107.jpg,0,Christie,0.4,FALSE,,a,8,54,0,0,0,0,0,0,0,Christie,Christie,Fulham,Christie Fulham,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,154,389,154,374,149,401,154
