id,full_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,team_short,npg,npxG,xGChain,xGBuildup,team_short,pos
7991,Aaron Connolly,24,1279,3,4.553525606,1,0.5620171577,36,6,0,0,F S,Brighton,Brighton,3,4.553525606,4.356782122,0.3541994113,Brighton,
534,Aaron Cresswell,31,2739,3,1.032538125,0,3.006656665,18,26,7,0,D,West Ham,West Ham,3,1.032538125,6.834942104,4.891463637,West Ham,
593,Aaron Lennon,16,466,0,0.02423142642,0,0.1580135822,1,2,4,0,M S,Burnley,Burnley,0,0.02423142642,0.2908954285,0.1086504199,Burnley,
6033,Aaron Mooy,31,2095,2,2.518191611,2,3.749102319,33,39,1,1,F M S,Brighton,Brighton,2,2.518191611,8.611672133,4.26419751,Brighton,
5603,Aaron Ramsdale,37,3330,0,0,1,0.5314233936,0,2,0,0,GK,Bournemouth,Bournemouth,0,0,2.167375199,1.635951802,Bournemouth,
5584,Aaron Wan-Bissaka,35,3075,0,0.8149191123,4,3.490916756,7,25,8,0,D M S,Manchester United,Man Utd,0,0.8149191123,14.16557976,11.52116862,Man Utd,
1726,Abdoulaye Doucouré,37,3189,4,5.280909617,2,4.084617623,61,38,8,0,M S,Watford,Watford,4,5.280909617,13.54045408,7.193617694,Watford,
8021,Adam Idah,12,197,0,0.8264870662,0,0.01502138004,6,1,0,0,F S,Norwich,Norwich,0,0.8264870662,0.8555927984,0.01408435032,Norwich,
486,Adam Lallana,15,362,1,0.8086850233,1,0.6536715552,5,4,1,0,M S,Liverpool,Liverpool,1,0.8086850233,3.720507052,2.313550264,Liverpool,
1441,Adam Masina,26,1818,1,0.8492825832,0,0.4176308392,15,10,3,0,D S,Watford,Watford,1,0.8492825832,2.981863494,2.145974055,Watford,
825,Adam Smith,24,2078,0,0.6926137796,1,1.273224204,4,10,7,0,D M,Bournemouth,Bournemouth,0,0.6926137796,5.350800078,4.599220164,Bournemouth,
7699,Adam Webster,31,2668,3,1.577792896,1,1.094376815,16,10,4,0,D,Brighton,Brighton,3,1.577792896,6.39076218,6.152603228,Brighton,
900,Adama Traoré,37,2596,4,3.707337396,9,7.551031334,43,49,1,0,F M S,Wolverhampton Wanderers,Wolves,4,3.707337396,15.27229515,5.655398901,Wolves,
527,Adrián,11,873,0,0,0,0,0,0,1,0,GK S,Liverpool,Liverpool,0,0,2.574331187,2.574331187,Liverpool,
524,Adrian Mariappa,20,1503,0,0.1671658717,0,0.2478996851,3,4,4,1,D S,Watford,Watford,0,0.1671658717,2.853157597,2.560190768,Watford,
1685,Ahmed El Mohamady,18,1007,1,0.1957340268,1,2.220943574,5,22,1,0,D M S,Aston Villa,Aston Villa,1,0.1957340268,3.627542907,2.72565309,Aston Villa,
1750,Ainsley Maitland-Niles,20,1372,0,0.5084081329,2,1.646096371,4,11,4,1,D S,Arsenal,Arsenal,0,0.5084081329,5.15650332,3.567148937,Arsenal,
8080,Akin Famewo,1,1,0,0,0,0,0,0,0,0,S,Norwich,Norwich,0,0,0,0,Norwich,
2673,Albian Ajeti,9,114,0,0.2023516838,0,0.03874383122,3,2,0,0,S,West Ham,West Ham,0,0.2023516838,0.273331942,0.03223643079,West Ham,
500,Alex Iwobi,25,1637,1,2.47862944,0,2.224674569,23,24,0,0,F M S,Everton,Everton,1,2.47862944,7.122992747,3.298394635,Everton,
635,Alex McCarthy,28,2520,0,0,0,0.02369353548,0,1,0,0,GK,Southampton,Southampton,0,0,3.154215794,3.130522259,Southampton,
966,Alex Oxlade-Chamberlain,30,1511,4,2.504467506,1,0.943688741,40,17,1,0,F M S,Liverpool,Liverpool,4,2.504467506,5.69325125,2.64896567,Liverpool,
791,Alexander Tettey,30,2372,1,0.6770779518,1,0.4899779018,23,5,5,0,D M S,Norwich,Norwich,1,0.6770779518,5.79071537,5.039048407,Norwich,
3277,Alexandre Lacazette,30,1890,10,8.664648203,4,3.342290916,52,24,8,0,F S,Arsenal,Arsenal,10,8.664648203,12.06130165,2.505634623,Arsenal,
8379,Alexis Mac Allister,9,357,0,0.5874678632,0,0.2033513142,7,5,0,0,F M S,Brighton,Brighton,0,0.5874678632,1.172587945,0.5007040575,Brighton,
6842,Alireza Jahanbakhsh,10,301,2,0.5862441808,0,0.9932846725,12,4,0,0,F M S,Brighton,Brighton,2,0.5862441808,1.588851389,0.7349357419,Brighton,
1257,Alisson,29,2545,0,0,1,0.2629152238,0,1,0,1,GK,Liverpool,Liverpool,0,0,6.831634546,6.568719337,Liverpool,
101,Allan Saint-Maximin,26,1896,3,2.942516947,4,4.331811693,46,33,0,0,F M S,Newcastle United,Newcastle,3,2.942516947,9.657795262,4.271792185,Newcastle,
2383,André Gomes,19,1457,0,0.2068473417,1,1.104507593,5,11,6,0,M S,Everton,Everton,0,0.2068473417,5.090313947,3.942985699,Everton,
1660,Andre Gray,23,725,2,2.589537688,0,1.86597465,19,10,1,0,F S,Watford,Watford,2,2.589537688,4.648880279,0.2978367396,Watford,
200,Andreas Christensen,21,1758,0,0.61414399,0,0.8512690179,7,4,5,0,D,Chelsea,Chelsea,0,0.61414399,6.598435763,6.25327969,Chelsea,
922,Andreas Pereira,25,1501,1,2.285591887,3,3.707923245,37,31,3,0,M S,Manchester United,Man Utd,1,2.285591887,8.948890056,4.526673386,Man Utd,
1688,Andrew Robertson,36,3114,2,1.81459292,12,7.897493236,22,60,2,0,D S,Liverpool,Liverpool,2,1.81459292,20.39599831,15.31265719,Liverpool,
460,Andrew Surman,5,230,0,0.02773614228,0,0.04897062108,1,1,1,0,M S,Bournemouth,Bournemouth,0,0.02773614228,0.9394944869,0.890523877,Bournemouth,
6274,Andriy Yarmolenko,23,979,5,2.625594977,1,3.426018501,26,19,2,0,M S,West Ham,West Ham,5,2.625594977,6.919684391,1.962578436,West Ham,
775,Andros Townsend,24,1272,1,0.3956621457,1,1.713790767,12,13,0,0,M S,Crystal Palace,Crystal Palace,1,0.3956621457,2.36252716,1.20086788,Crystal Palace,
537,Andy Carroll,19,582,0,1.494794494,4,0.9094429472,16,12,1,0,F S,Newcastle United,Newcastle,0,1.494794494,2.188728731,1.049436074,Newcastle,
5598,Angel Gomes,2,17,0,0,0,0.2292032838,0,2,0,0,S,Manchester United,Man Utd,0,0,0.2523972839,0.1622157842,Man Utd,
1040,Angelino,6,417,0,0.2092329338,0,1.923204936,5,9,1,0,D S,Manchester City,Man City,0,0.2092329338,2.763353288,2.369252861,Man City,
528,Angelo Ogbonna,31,2790,2,1.303147158,0,0.07013970427,13,2,4,0,D,West Ham,West Ham,2,1.303147158,2.947999261,2.816510731,West Ham,
5544,Angus Gunn,10,900,0,0,0,0,0,0,0,0,GK,Southampton,Southampton,0,0,0.4860546291,0.4860546291,Southampton,
8150,Anthony Gordon,11,438,0,0.3270713575,1,0.3399497494,6,6,0,0,M S,Everton,Everton,0,0.3270713575,0.8956372105,0.328934893,Everton,
553,Anthony Martial,32,2672,17,13.24049478,6,4.618776655,80,30,1,0,F S,Manchester United,Man Utd,17,12.47932606,20.40956319,6.357817467,Man Utd,
1822,Antonio Rüdiger,20,1710,2,0.9304546975,0,1.177513458,12,5,3,0,D S,Chelsea,Chelsea,2,0.9304546975,6.220131254,6.190619096,Chelsea,
5612,Anwar El Ghazi,34,2082,4,6.381360174,4,2.877201503,53,30,3,0,F M S,Aston Villa,Aston Villa,3,5.620191337,8.016558893,2.210284133,Aston Villa,
8384,Armando Broja,1,4,0,0,0,0,0,0,0,0,S,Chelsea,Chelsea,0,0,0.02087278292,0.02087278292,Chelsea,
8066,Arnaut Danjuma Groeneveld,14,614,0,1.048507299,0,0.1639102288,13,5,0,0,M S,Bournemouth,Bournemouth,0,1.048507299,1.204533551,0.2690830585,Bournemouth,
1760,Arthur Masuaku,17,925,0,0.09922112525,1,1.252851464,5,7,4,1,D M S,West Ham,West Ham,0,0.09922112525,3.070639553,2.874283677,West Ham,
4422,Ashley Barnes,19,1386,6,6.516927354,0,0.308820501,40,5,4,0,F S,Burnley,Burnley,5,5.755758502,5.060966618,1.574079214,Burnley,
